epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7697,2.48342,3.51982,2.41868,0.0148,0.68889,0.11885,0.03424,2.43984,3.61485,2.70042,0.00025005,0.00025005,0.00025005
2,39.7672,2.27228,3.15373,2.30084,0.01372,0.6,0.11423,0.03871,2.21686,3.57063,2.70035,0.000506538,0.000506538,0.000506538
3,59.9671,2.20688,3.03466,2.22399,0.02039,0.62222,0.0896,0.02818,2.63725,3.62614,2.87694,0.000752464,0.000752464,0.000752464
4,79.9554,2.25257,3.02256,2.25173,0.17889,0.06667,0.0785,0.03391,2.38458,3.61257,2.75596,0.000987828,0.000987828,0.000987828
5,100.286,2.2897,3.04347,2.30502,0.01837,0.46667,0.04783,0.01203,2.59534,3.74414,3.10896,0.00121263,0.00121263,0.00121263
6,126.427,2.24693,2.96544,2.29308,0.08594,0.08889,0.0227,0.004,3.12464,3.74992,3.65342,0.00142687,0.00142687,0.00142687
7,154.354,2.2264,2.9282,2.29522,0.09252,0.2,0.05779,0.01359,3.08811,6.00063,3.43114,0.00146896,0.00146896,0.00146896
8,185.731,2.22014,2.93861,2.30646,0.10493,0.15556,0.07267,0.02136,2.87183,3.44103,3.2393,0.00143595,0.00143595,0.00143595
9,212.047,2.18646,2.88888,2.34195,0.14075,0.17778,0.09685,0.01985,2.82856,3.24679,3.03845,0.00140295,0.00140295,0.00140295
10,236.212,2.20054,2.87607,2.32538,0.24075,0.13333,0.0843,0.02343,2.70426,3.38414,3.00937,0.00136994,0.00136994,0.00136994
11,257.726,2.18008,2.82502,2.24728,0.09997,0.33333,0.08073,0.02257,2.56706,3.36371,2.80537,0.00133693,0.00133693,0.00133693
12,278.754,2.11568,2.71571,2.20483,0.14414,0.11111,0.069,0.02145,2.75542,3.03549,3.02417,0.00130393,0.00130393,0.00130393
13,300.06,2.16403,2.71925,2.19811,0.05309,0.20311,0.04912,0.01564,2.77836,3.23567,3.00665,0.00127092,0.00127092,0.00127092
14,323.631,2.10492,2.69863,2.19762,0.13506,0.15556,0.08491,0.02692,2.68363,2.99776,2.93904,0.00123791,0.00123791,0.00123791
15,349.415,2.11601,2.62918,2.17123,0.08352,0.2,0.05875,0.01768,2.72422,2.93224,2.91911,0.00120491,0.00120491,0.00120491
16,373.08,2.08195,2.64595,2.17743,0.14132,0.37778,0.10973,0.03441,2.55052,2.83939,2.84151,0.0011719,0.0011719,0.0011719
17,397.132,2.0812,2.63594,2.17241,0.06496,0.13333,0.04005,0.01125,2.62212,3.21961,2.91199,0.00113889,0.00113889,0.00113889
18,421.863,2.07812,2.58979,2.18437,0.09247,0.28889,0.06577,0.02009,2.5393,3.16847,2.8171,0.00110589,0.00110589,0.00110589
19,447.751,2.01995,2.58458,2.12241,0.1657,0.15556,0.08039,0.01939,2.71023,3.0983,2.90053,0.00107288,0.00107288,0.00107288
